financial_type,fund_nm,file_dt,instrument_price,reference_price,price_diff
Government Bond,Belaware,2022-11-30,3228.6200000000,3228.6196,0.00002
Equities,Belaware,2023-01-31,10103.7000000000,10103.701,-0.00004
Government Bond,Applebead,2023-01-31,3280.0500000000,3280.05,0.00001
Government Bond,Belaware,2023-02-28,3217.3900000000,3217.3901,0.00002
Equities,TT_monthly_Trustmind,2023-07-31,10574.3000000000,,
Equities,rpt-Catalysm,2022-09-30,12546.8700000000,12546.871,-0.00007
Equities,Applebead,2023-06-30,11229.0800000000,11229.079,-0.00013
Government Bond,Leeder,2022-12-31,3140.4700000000,3140.4702,0.00000
Equities,Report-of-Gohen,2022-12-31,5315.5900000000,,
Equities,Leeder,2023-05-31,13747.6200000000,13747.618,-0.00006
Equities,mend-report Wallington,2022-09-30,11053.8400000000,,
Equities,Virtous,2023-02-28,8474.5000000000,8474.501,-0.00004
Government Bond,Virtous,2022-09-30,2447.0600000000,2447.0603,-0.00004
Government Bond,Leeder,2022-08-31,3142.4500000000,3142.45,-0.00002
Government Bond,Leeder,2023-03-31,3134.5300000000,3134.5303,0.00002
Government Bond,Applebead,2023-02-28,3281.6200000000,3281.6199,-0.00001
Government Bond,rpt-Catalysm,2023-04-30,3932.1000000000,3932.0999,0.00003
Government Bond,Applebead,2023-05-31,3287.0400000000,3287.0398,0.00002
Equities,Belaware,2023-04-30,10259.4900000000,,
Equities,Applebead,2022-10-31,10182.1300000000,11200.342,-1018.21302
Government Bond,Magnum,2023-07-31,3096.3000000000,3096.2998,0.00001
Equities,rpt-Catalysm,2022-12-31,14068.1300000000,,
Equities,Virtous,2022-12-31,8114.4700000000,,
Government Bond,Belaware,2023-07-31,3216.7300000000,3216.73,0.00004
Government Bond,Belaware,2023-05-31,3221.3300000000,3221.33,-0.00001
Equities,Applebead,2023-05-31,10485.3400000000,10485.341,-0.00012
Equities,TT_monthly_Trustmind,2023-01-31,10467.5300000000,,
Government Bond,rpt-Catalysm,2022-12-31,3934.8200000000,3934.82,-0.00004
Equities,Leeder,2023-06-30,14468.8100000000,14468.809,-0.00008
Government Bond,Magnum,2022-08-31,3100.5300000000,3100.53,0.00002
Equities,Fund Whitestone,2023-01-31,9489.8600000000,9489.86,-0.00013
Equities,mend-report Wallington,2022-11-30,12811.9000000000,,
Government Bond,Virtous,2023-07-31,2449.6900000000,2449.69,-0.00002
Equities,Applebead,2022-12-31,10288.3600000000,,
Equities,rpt-Catalysm,2023-08-31,16422.2000000000,16422.2,0.00017
Equities,Leeder,2023-02-28,13772.8900000000,13772.891,-0.00005
Equities,Fund Whitestone,2022-09-30,8210.6800000000,8210.681,0.00006
Government Bond,Leeder,2022-10-31,3138.5100000000,3452.3608,-313.85099
Equities,rpt-Catalysm,2022-10-31,13535.0300000000,14888.533,-1353.50286
Equities,Belaware,2022-08-31,9127.4400000000,9127.442,-0.00001
Government Bond,rpt-Catalysm,2022-10-31,3927.9900000000,4320.7886,-392.79899
Government Bond,rpt-Catalysm,2022-11-30,3946.7000000000,3946.7,0.00005
Equities,mend-report Wallington,2023-08-31,15017.5500000000,,
Equities,Virtous,2023-08-31,8903.0300000000,8903.029,0.00000
Equities,Virtous,2022-10-31,7967.4600000000,8764.208,-796.74606
Equities,Report-of-Gohen,2023-05-31,5429.2600000000,,
Equities,TT_monthly_Trustmind,2023-08-31,10182.0600000000,,
Equities,Belaware,2023-05-31,9974.7800000000,9974.781,0.00001
Equities,Report-of-Gohen,2023-01-31,5700.5900000000,,
Equities,Fund Whitestone,2022-10-31,9123.8900000000,10036.28,-912.38901
Equities,TT_monthly_Trustmind,2022-09-30,8794.0900000000,,
Equities,Applebead,2022-09-30,9154.5300000000,9154.53,0.00010
Government Bond,Belaware,2023-06-30,3212.4200000000,3212.42,0.00001
Equities,Applebead,2023-01-31,10798.4100000000,10798.411,-0.00008
Equities,mend-report Wallington,2022-12-31,12212.7100000000,,
Equities,Magnum,2022-08-31,10670.9900000000,10670.991,0.00000
Government Bond,Magnum,2022-11-30,3107.0600000000,3107.0598,-0.00002
Equities,Fund Whitestone,2023-02-28,9272.6900000000,9272.688,-0.00004
Equities,Magnum,2023-05-31,12002.3100000000,12002.311,0.00002
Equities,TT_monthly_Trustmind,2022-12-31,9824.6900000000,,
Equities,Virtous,2022-08-31,8006.9000000000,8006.9004,-0.00005
Equities,Magnum,2022-10-31,10868.1000000000,11954.909,-1086.81000
Equities,rpt-Catalysm,2023-04-30,15985.9000000000,,
Government Bond,Applebead,2023-03-31,3279.3900000000,3279.3901,0.00000
Government Bond,Applebead,2022-09-30,3279.0200000000,3279.02,0.00001
Equities,Magnum,2022-09-30,9764.5300000000,9764.527,0.00002
Equities,Belaware,2022-12-31,9526.9100000000,,
Government Bond,Belaware,2022-12-31,3220.1200000000,3220.12,-0.00001
Government Bond,Virtous,2023-02-28,2449.9400000000,2449.9402,-0.00001
Government Bond,Fund Whitestone,2022-11-30,3147.5900000000,3147.5898,0.00002
Equities,TT_monthly_Trustmind,2022-10-31,9635.1400000000,,
Government Bond,Magnum,2023-06-30,3091.6400000000,3091.6396,0.00003
Equities,Virtous,2022-09-30,7280.2700000000,7280.2695,-0.00002
Equities,TT_monthly_Trustmind,2023-03-31,10160.0000000000,,
Equities,Report-of-Gohen,2022-10-31,5168.6300000000,,
Equities,Virtous,2023-01-31,8714.3300000000,8714.33,-0.00004
Equities,Magnum,2022-12-31,11290.6300000000,,
Equities,Applebead,2023-08-31,11045.5200000000,11045.52,0.00000
Equities,Magnum,2023-07-31,13324.4000000000,13324.399,0.00007
Government Bond,Applebead,2023-04-30,3284.8100000000,3284.81,-0.00004
Equities,Virtous,2022-11-30,8466.8600000000,8466.86,0.00000
Government Bond,Belaware,2022-10-31,3216.8000000000,3538.48,-321.67998
Government Bond,Magnum,2023-05-31,3099.6000000000,3099.6003,0.00001
Government Bond,Leeder,2023-02-28,3138.1800000000,3138.18,0.00005
Equities,Leeder,2022-11-30,13833.4300000000,13833.432,0.00007
Government Bond,Leeder,2023-07-31,3137.3800000000,3137.38,-0.00002
Government Bond,Belaware,2022-09-30,3213.3400000000,3213.34,-0.00005
Equities,Leeder,2023-07-31,14845.2800000000,14845.279,0.00007
